flight_id;airport_id;airport_type
143031;36;departure
143032;52;departure
143036;79;departure
143046;2;departure
143047;16;departure
143049;65;departure
143050;52;departure
143051;21;departure
143052;93;departure
143053;96;departure
143054;36;departure
143056;13;departure
143062;96;departure
143063;82;departure
143063;62;departure
143067;34;departure
143068;84;departure
143069;11;departure
143072;30;departure
143082;43;departure
143083;50;departure
143087;81;departure
143089;36;departure
143091;3;departure
143093;40;departure
143096;93;departure
143098;34;departure
143099;1;departure
143103;79;departure
143105;64;departure
143106;36;departure
143112;10;departure
143115;50;departure
143116;73;departure
143117;65;departure
143122;18;departure
143123;51;departure
143124;90;departure
143125;28;departure
143127;46;departure
143128;93;departure
143132;81;departure
143140;57;departure
143143;46;departure
143145;42;departure
143146;81;departure
143147;57;departure
143149;81;departure
143150;61;departure
143152;73;departure
143153;88;departure
143156;57;departure
143158;35;departure
143160;78;departure
143162;47;departure
143164;57;departure
143166;50;departure
143171;82;departure
143171;62;departure
143172;54;departure
143173;82;departure
143173;62;departure
143177;81;departure
143179;38;departure
143181;52;departure
143182;73;departure
143183;16;departure
143187;57;departure
143190;96;departure
143197;81;departure
143199;73;departure
143204;36;departure
143206;73;departure
143211;5;departure
143217;36;departure
143220;36;departure
143222;65;departure
143223;65;departure
143225;30;departure
143233;50;departure
143234;65;departure
143235;93;departure
143237;42;departure
143238;93;departure
143240;57;departure
143241;30;departure
143242;84;departure
143243;32;departure
143244;42;departure
143245;65;departure
143246;65;departure
143247;50;departure
143249;46;departure
143253;30;departure
143255;43;departure
143256;54;departure
143258;42;departure
143259;50;departure
143261;16;departure
143262;96;departure
143263;96;departure
143264;96;departure
143265;5;departure
143266;70;departure
143267;23;departure
143268;38;departure
143269;42;departure
143270;36;departure
143274;16;departure
143275;73;departure
143276;36;departure
143277;30;departure
143279;96;departure
143280;49;departure
143282;84;departure
143283;84;departure
143285;50;departure
143287;49;departure
143288;50;departure
143289;81;departure
143290;70;departure
143291;49;departure
143292;30;departure
143293;36;departure
143294;36;departure
143295;84;departure
143297;29;departure
143300;2;departure
143302;38;departure
143304;16;departure
143305;37;departure
143306;32;departure
143307;60;departure
143311;17;departure
143312;32;departure
143316;36;departure
143317;50;departure
143318;50;departure
143319;46;departure
143320;56;departure
143321;36;departure
143322;38;departure
143323;32;departure
143328;38;departure
143331;81;departure
143332;32;departure
143336;43;departure
143337;30;departure
143339;38;departure
143341;65;departure
143343;81;departure
143344;30;departure
143345;93;departure
143346;13;departure
143347;23;departure
143348;42;departure
143350;16;departure
143351;84;departure
143352;32;departure
143354;65;departure
143355;73;departure
143356;50;departure
143357;34;departure
143358;49;departure
143360;36;departure
143361;96;departure
143362;38;departure
143363;34;departure
143364;32;departure
143365;84;departure
143366;65;departure
143367;34;departure
143369;81;departure
143371;54;departure
143372;32;departure
143373;26;departure
143374;50;departure
143379;42;departure
143380;23;departure
143382;38;departure
143385;49;departure
143386;65;departure
143388;50;departure
143389;93;departure
143390;49;departure
143393;32;departure
143394;49;departure
143395;49;departure
143396;84;departure
143397;42;departure
143398;70;departure
143399;46;departure
143400;65;departure
143401;82;departure
143401;62;departure
143402;32;departure
143404;42;departure
143405;65;departure
143406;84;departure
143407;59;departure
143409;50;departure
143410;73;departure
143411;42;departure
143413;38;departure
143414;70;departure
143415;32;departure
143416;47;departure
143417;42;departure
143419;96;departure
143421;38;departure
143423;38;departure
143424;84;departure
143425;1;departure
143426;32;departure
143427;42;departure
143428;84;departure
143429;42;departure
143431;32;departure
143432;74;departure
143433;38;departure
143434;65;departure
143435;42;departure
143436;38;departure
143437;42;departure
143438;42;departure
143439;38;departure
143441;96;departure
143443;42;departure
143444;47;departure
143445;82;departure
143445;62;departure
143446;96;departure
143447;42;departure
143448;73;departure
143450;38;departure
143451;32;departure
143452;84;departure
143453;17;departure
143455;73;departure
143456;46;departure
143457;50;departure
143458;84;departure
143459;38;departure
143460;30;departure
143461;49;departure
143462;73;departure
143463;32;departure
143464;42;departure
143466;16;departure
143467;49;departure
143468;50;departure
143471;49;departure
143472;32;departure
143474;96;departure
143475;73;departure
143476;42;departure
143479;65;departure
143480;42;departure
143481;96;departure
143482;34;departure
143483;34;departure
143485;42;departure
143488;38;departure
143489;32;departure
143490;38;departure
143491;70;departure
143492;38;departure
143493;42;departure
143495;50;departure
143496;42;departure
143497;70;departure
143498;42;departure
143499;42;departure
143501;30;departure
143502;42;departure
143503;47;departure
143506;84;departure
143508;50;departure
143510;49;departure
143513;65;departure
143515;49;departure
143516;96;departure
143517;36;departure
143520;19;departure
143521;17;departure
143522;50;departure
143528;36;departure
143529;36;departure
143530;30;departure
143531;32;departure
143533;70;departure
143534;36;departure
143536;30;departure
143538;38;departure
143539;50;departure
143540;32;departure
143542;32;departure
143544;49;departure
143545;54;departure
143547;93;departure
143548;38;departure
143549;42;departure
143551;96;departure
143552;17;departure
143553;36;departure
143556;30;departure
143557;65;departure
143559;38;departure
143560;36;departure
143561;73;departure
143562;50;departure
143563;32;departure
143565;1;departure
143566;49;departure
143567;32;departure
143569;36;departure
143570;49;departure
143571;96;departure
143572;42;departure
143573;96;departure
143574;50;departure
143578;16;departure
143579;42;departure
143580;38;departure
143581;96;departure
143582;65;departure
143583;38;departure
143584;42;departure
143585;42;departure
143587;42;departure
143590;65;departure
143591;42;departure
143592;81;departure
143593;73;departure
143595;96;departure
143597;50;departure
143598;84;departure
143600;54;departure
143601;70;departure
143604;38;departure
143605;65;departure
143606;32;departure
143607;32;departure
143608;47;departure
143613;36;departure
143615;96;departure
143616;30;departure
143617;50;departure
143619;42;departure
143620;43;departure
143622;65;departure
143624;65;departure
143626;42;departure
143627;82;departure
143627;62;departure
143628;36;departure
143629;36;departure
143630;65;departure
143631;36;departure
143634;50;departure
143635;36;departure
143636;38;departure
143637;32;departure
143638;78;departure
143639;36;departure
143641;49;departure
143643;36;departure
143644;30;departure
143645;49;departure
143646;73;departure
143648;65;departure
143652;18;departure
143653;36;departure
143654;30;departure
143655;72;departure
143657;32;departure
143658;90;departure
143659;54;departure
143660;32;departure
143662;36;departure
143663;34;departure
143666;49;departure
143667;50;departure
143671;23;departure
143672;70;departure
143673;36;departure
143674;42;departure
143675;49;departure
143676;38;departure
143678;54;departure
143679;50;departure
143681;30;departure
143685;49;departure
143687;60;departure
143689;30;departure
143690;49;departure
143692;67;departure
143693;34;departure
143696;73;departure
143699;34;departure
143701;42;departure
143703;42;departure
143704;73;departure
143705;50;departure
143706;93;departure
143709;42;departure
143711;42;departure
143714;42;departure
143715;70;departure
143717;32;departure
143719;54;departure
143722;84;departure
143725;31;departure
143726;38;departure
143727;65;departure
143728;93;departure
143729;73;departure
143733;16;departure
143735;30;departure
143736;65;departure
143737;42;departure
143738;42;departure
143739;50;departure
143740;65;departure
143742;65;departure
143744;67;departure
143745;73;departure
143747;46;departure
143748;42;departure
143750;81;departure
143751;38;departure
143752;46;departure
143753;32;departure
143754;38;departure
143755;50;departure
143756;38;departure
143757;47;departure
143758;46;departure
143759;34;departure
143761;70;departure
143762;32;departure
143763;73;departure
143764;50;departure
143766;42;departure
143767;46;departure
143768;5;departure
143769;32;departure
143771;70;departure
143772;34;departure
143773;50;departure
143775;49;departure
143776;65;departure
143778;70;departure
143779;57;departure
143780;42;departure
143781;73;departure
143783;30;departure
143784;42;departure
143785;49;departure
143786;66;departure
143788;42;departure
143789;42;departure
143790;42;departure
143792;38;departure
143794;43;departure
143799;49;departure
143800;50;departure
143801;49;departure
143802;96;departure
143804;70;departure
143805;42;departure
143806;70;departure
143807;38;departure
143808;96;departure
143809;49;departure
143810;49;departure
143812;42;departure
143814;73;departure
143815;70;departure
143818;50;departure
143819;38;departure
143820;5;departure
143821;84;departure
143823;42;departure
143824;50;departure
143825;54;departure
143826;65;departure
143827;38;departure
143828;50;departure
143829;50;departure
143830;38;departure
143831;73;departure
143832;42;departure
143833;17;departure
143835;65;departure
143837;81;departure
143838;42;departure
143839;50;departure
143840;96;departure
143841;17;departure
143842;42;departure
143843;49;departure
143844;30;departure
143845;65;departure
143846;49;departure
143847;32;departure
143848;32;departure
143850;38;departure
143851;82;departure
143851;62;departure
143852;49;departure
143854;81;departure
143855;42;departure
143856;49;departure
143857;65;departure
143858;65;departure
143859;65;departure
143861;42;departure
143862;84;departure
143864;42;departure
143865;36;departure
143866;30;departure
143868;79;departure
143869;36;departure
143871;3;departure
143872;34;departure
143873;16;departure
143874;36;departure
143876;65;departure
143877;65;departure
143880;65;departure
143882;42;departure
143883;59;departure
143884;38;departure
143886;73;departure
143887;38;departure
143888;36;departure
143889;83;departure
143891;36;departure
143892;32;departure
143893;42;departure
143894;31;departure
143895;47;departure
143896;50;departure
143899;73;departure
143900;70;departure
143902;18;departure
143905;38;departure
143906;49;departure
143907;49;departure
143908;72;departure
143909;50;departure
143910;36;departure
143913;84;departure
143914;47;departure
143915;38;departure
143916;43;departure
143917;54;departure
143918;81;departure
143919;16;departure
143920;36;departure
143921;38;departure
143922;36;departure
143923;38;departure
143924;54;departure
143926;17;departure
143927;30;departure
143929;49;departure
143930;96;departure
143931;36;departure
143932;58;departure
143933;38;departure
143934;32;departure
143935;5;departure
143936;96;departure
143937;70;departure
143938;47;departure
143939;49;departure
143940;38;departure
143941;32;departure
143944;49;departure
143945;65;departure
143946;84;departure
143947;30;departure
143948;30;departure
143949;59;departure
143952;23;departure
143953;49;departure
143954;36;departure
143955;96;departure
143958;36;departure
143964;36;departure
143965;66;departure
143967;57;departure
143968;49;departure
143969;96;departure
143970;96;departure
143971;49;departure
143976;50;departure
143980;96;departure
143982;66;departure
143983;30;departure
143984;38;departure
143986;42;departure
143988;36;departure
143993;32;departure
143994;13;departure
143995;65;departure
143997;17;departure
143998;23;departure
144000;42;departure
144001;38;departure
144003;93;departure
144004;43;departure
144005;50;departure
144006;65;departure
144008;31;departure
144009;36;departure
144010;5;departure
144011;38;departure
144014;50;departure
144015;49;departure
144017;65;departure
144018;17;departure
144019;36;departure
144020;50;departure
144023;50;departure
144024;90;departure
144025;49;departure
144026;34;departure
144027;50;departure
144028;49;departure
144030;30;departure
144031;50;departure
144032;50;departure
144033;84;departure
144034;31;departure
144036;50;departure
144037;96;departure
144039;52;departure
144040;36;departure
144041;60;departure
144042;42;departure
144043;36;departure
144044;54;departure
144045;73;departure
144046;52;departure
144047;50;departure
144048;82;departure
144048;62;departure
144050;32;departure
144053;47;departure
144056;70;departure
144058;36;departure
144059;65;departure
144061;59;departure
144062;42;departure
144063;36;departure
144064;36;departure
144065;30;departure
144066;58;departure
144067;49;departure
144068;58;departure
144069;67;departure
144070;38;departure
144072;65;departure
144073;17;departure
144074;42;departure
144075;70;departure
144076;49;departure
144077;49;departure
144078;50;departure
144079;70;departure
144080;36;departure
144081;38;departure
144083;30;departure
144084;36;departure
144087;49;departure
144092;50;departure
144093;49;departure
144094;2;departure
144095;46;departure
144096;65;departure
144097;42;departure
144098;36;departure
144100;32;departure
144103;49;departure
144104;36;departure
144105;42;departure
144106;70;departure
144108;81;departure
144109;50;departure
144111;38;departure
144113;65;departure
144114;50;departure
144115;49;departure
144116;93;departure
144117;50;departure
144119;42;departure
144120;46;departure
144121;50;departure
144122;32;departure
144123;42;departure
144127;38;departure
144129;70;departure
144130;84;departure
144131;49;departure
144132;17;departure
144133;42;departure
144134;65;departure
144135;73;departure
144136;6;departure
144137;50;departure
144139;42;departure
144140;65;departure
144142;42;departure
144143;65;departure
144144;96;departure
144145;65;departure
144146;96;departure
144147;38;departure
144148;84;departure
144149;42;departure
144150;93;departure
144152;42;departure
144153;65;departure
144154;84;departure
144156;65;departure
144157;42;departure
144158;96;departure
144160;38;departure
144161;42;departure
144164;50;departure
144166;5;departure
144167;1;departure
144168;50;departure
144170;50;departure
144171;42;departure
144172;42;departure
144173;30;departure
144176;50;departure
144177;36;departure
144178;42;departure
144180;81;departure
144181;42;departure
144182;49;departure
144183;65;departure
144184;73;departure
144185;96;departure
144186;49;departure
144187;38;departure
144188;38;departure
144189;42;departure
144191;42;departure
144193;81;departure
144194;70;departure
144195;32;departure
144196;70;departure
144197;84;departure
144200;47;departure
144201;32;departure
144202;47;departure
144203;65;departure
144204;49;departure
144205;42;departure
144207;96;departure
144208;38;departure
144209;96;departure
144210;38;departure
144212;49;departure
144213;32;departure
144216;73;departure
144217;50;departure
144219;18;departure
144220;96;departure
144222;65;departure
144223;42;departure
144224;81;departure
144225;65;departure
144227;32;departure
144228;49;departure
144229;50;departure
144232;81;departure
144233;38;departure
144234;38;departure
144235;42;departure
144236;16;departure
144237;50;departure
144238;70;departure
144240;42;departure
144241;84;departure
144243;42;departure
144244;46;departure
144245;5;departure
144246;96;departure
144247;32;departure
144250;38;departure
144251;82;departure
144251;62;departure
144252;96;departure
144253;34;departure
144255;17;departure
144257;70;departure
144259;32;departure
144260;46;departure
144261;36;departure
144265;65;departure
144266;54;departure
144267;89;departure
144268;17;departure
144270;50;departure
144273;73;departure
144274;46;departure
144276;30;departure
144277;65;departure
144278;36;departure
144279;81;departure
144281;46;departure
144282;17;departure
144286;20;departure
144289;42;departure
144290;31;departure
144291;90;departure
144295;93;departure
144296;96;departure
144299;34;departure
144301;37;departure
144303;50;departure
144304;96;departure
144306;38;departure
144311;54;departure
144312;65;departure
144313;23;departure
144314;42;departure
144316;30;departure
144319;57;departure
144320;73;departure
144322;93;departure
144323;42;departure
144324;42;departure
144326;17;departure
144327;46;departure
144329;65;departure
144330;34;departure
144332;32;departure
144334;30;departure
144335;36;departure
144336;42;departure
144337;70;departure
144339;17;departure
144341;38;departure
144342;36;departure
144343;47;departure
144344;96;departure
144346;81;departure
144349;30;departure
144350;42;departure
144351;42;departure
144352;57;departure
144353;96;departure
144355;54;departure
144356;42;departure
144357;93;departure
144359;84;departure
144361;46;departure
144362;84;departure
144365;40;departure
144366;70;departure
144367;42;departure
144368;50;departure
144369;50;departure
144370;65;departure
144373;17;departure
144374;43;departure
144375;49;departure
144376;49;departure
144377;73;departure
144378;17;departure
144380;65;departure
144382;50;departure
144384;65;departure
144385;47;departure
144386;84;departure
144390;42;departure
144394;81;departure
144395;36;departure
144396;70;departure
144397;32;departure
144398;30;departure
144399;65;departure
144402;18;departure
144403;30;departure
144404;20;departure
144405;54;departure
144407;17;departure
144408;49;departure
144409;65;departure
144410;50;departure
144411;96;departure
144412;50;departure
144413;34;departure
144414;49;departure
144416;72;departure
144418;36;departure
144419;79;departure
144420;52;departure
144421;67;departure
144422;70;departure
144423;42;departure
144425;93;departure
144426;36;departure
144427;32;departure
144428;17;departure
144429;93;departure
144430;38;departure
144431;49;departure
144434;96;departure
144435;93;departure
144438;42;departure
144439;17;departure
144443;82;departure
144443;62;departure
144444;32;departure
144448;50;departure
144450;81;departure
144452;84;departure
144453;5;departure
144454;38;departure
144457;36;departure
144458;50;departure
144459;84;departure
144460;30;departure
144463;17;departure
144464;73;departure
144466;50;departure
144467;70;departure
144469;34;departure
144470;50;departure
144472;54;departure
144473;78;departure
144474;50;departure
144475;42;departure
144476;67;departure
144477;65;departure
144478;32;departure
144479;70;departure
144480;50;departure
144481;38;departure
144482;70;departure
144483;32;departure
144485;42;departure
144486;42;departure
144487;42;departure
144488;42;departure
144490;38;departure
144492;73;departure
144493;96;departure
144494;50;departure
144496;50;departure
144497;65;departure
144499;50;departure
144500;81;departure
144502;42;departure
144504;70;departure
144505;30;departure
144506;84;departure
144507;32;departure
144508;59;departure
144510;49;departure
144512;73;departure
144513;84;departure
144514;32;departure
144517;50;departure
144518;65;departure
144519;42;departure
144520;74;departure
144523;32;departure
144526;50;departure
144528;17;departure
144529;38;departure
144530;46;departure
144531;34;departure
144532;67;departure
144534;38;departure
144535;65;departure
144536;50;departure
144537;96;departure
144540;81;departure
144541;49;departure
144542;38;departure
144543;49;departure
144544;49;departure
144545;70;departure
144547;73;departure
144548;38;departure
144550;65;departure
144551;82;departure
144551;62;departure
144553;47;departure
144554;49;departure
144555;5;departure
144558;1;departure
144559;42;departure
144560;38;departure
144561;50;departure
144563;5;departure
144566;46;departure
144567;49;departure
144568;31;departure
144569;50;departure
144570;84;departure
144571;70;departure
144573;47;departure
144574;32;departure
144575;96;departure
144576;73;departure
144577;82;departure
144577;62;departure
144579;1;departure
144581;42;departure
144583;73;departure
144585;49;departure
144586;42;departure
144587;43;departure
144588;49;departure
144589;42;departure
144590;42;departure
144591;73;departure
144592;2;departure
144593;65;departure
144594;42;departure
144597;57;departure
144598;42;departure
144601;42;departure
144602;96;departure
144603;38;departure
144604;50;departure
144605;93;departure
144606;49;departure
144607;65;departure
144608;38;departure
144609;42;departure
144612;38;departure
144614;84;departure
144615;32;departure
144616;30;departure
144617;70;departure
144618;65;departure
144623;36;departure
144624;17;departure
144629;30;departure
144632;65;departure
144634;50;departure
144636;42;departure
144637;42;departure
144641;31;departure
144642;32;departure
144644;36;departure
144647;32;departure
144650;36;departure
144652;61;departure
144654;49;departure
144655;32;departure
144656;50;departure
144657;38;departure
144658;70;departure
144659;65;departure
144662;42;departure
144663;36;departure
144664;96;departure
144665;46;departure
144667;17;departure
144669;32;departure
144671;65;departure
144672;84;departure
144674;32;departure
144676;49;departure
144677;36;departure
144678;46;departure
144679;6;departure
144680;93;departure
144683;70;departure
144684;96;departure
144685;43;departure
144687;17;departure
144688;52;departure
144690;42;departure
144691;43;departure
144692;18;departure
144693;36;departure
144695;81;departure
144697;32;departure
144698;30;departure
144700;50;departure
144701;65;departure
144702;50;departure
144703;32;departure
144705;65;departure
144707;50;departure
144708;96;departure
144709;70;departure
144711;65;departure
144712;42;departure
144714;50;departure
144715;54;departure
144717;47;departure
144720;36;departure
144721;17;departure
144723;36;departure
144725;42;departure
144727;90;departure
144728;43;departure
144730;30;departure
144731;36;departure
144733;32;departure
144734;49;departure
144735;38;departure
144738;81;departure
144739;84;departure
144740;32;departure
144741;49;departure
144742;29;departure
144744;81;departure
144745;30;departure
144746;72;departure
144748;36;departure
144749;47;departure
144750;23;departure
144751;73;departure
144752;42;departure
144753;50;departure
144756;41;departure
144757;38;departure
144758;50;departure
144759;70;departure
144761;17;departure
144762;46;departure
144764;89;departure
144766;50;departure
144767;50;departure
144768;80;departure
144769;36;departure
144770;50;departure
144771;42;departure
144772;3;departure
144773;93;departure
144774;50;departure
144776;18;departure
144777;70;departure
144779;36;departure
144780;50;departure
144782;36;departure
144783;36;departure
144784;35;departure
144785;3;departure
144786;5;departure
144787;69;departure
144788;38;departure
144789;17;departure
144790;35;departure
144791;50;departure
144792;16;departure
144795;38;departure
144796;54;departure
144797;73;departure
144798;73;departure
144799;42;departure
144800;38;departure
144803;84;departure
144806;61;departure
144807;73;departure
144809;32;departure
144810;16;departure
144811;65;departure
144813;49;departure
144814;38;departure
144815;42;departure
144816;42;departure
144817;73;departure
144819;93;departure
144821;73;departure
144822;16;departure
144823;93;departure
144824;65;departure
144825;73;departure
144826;44;departure
144827;43;departure
144828;63;departure
144830;42;departure
144831;87;departure
144832;42;departure
144833;36;departure
144834;32;departure
144835;50;departure
144837;20;departure
144838;31;departure
144840;36;departure
144841;70;departure
144843;16;departure
144844;65;departure
144845;87;departure
144846;70;departure
144847;1;departure
144849;16;departure
144853;38;departure
144855;88;departure
144860;31;departure
144861;52;departure
144862;42;departure
144863;88;departure
144865;1;departure
144868;50;departure
144869;3;departure
144870;36;departure
144872;40;departure
144878;50;departure
144879;41;departure
144881;36;departure
144883;36;departure
144884;65;departure
144886;81;departure
144891;58;departure
144892;44;departure
144893;36;departure
144894;12;departure
144896;82;departure
144896;62;departure
144897;40;departure
144898;73;departure
144899;70;departure
144900;43;departure
144902;38;departure
144904;22;departure
144906;20;departure
144907;75;departure
144908;49;departure
144911;50;departure
144913;70;departure
144914;80;departure
144916;54;departure
144918;49;departure
144924;50;departure
144927;58;departure
144928;46;departure
144929;36;departure
144930;19;departure
144931;35;departure
144933;3;departure
144934;40;departure
144936;87;departure
144938;10;departure
144941;61;departure
144942;50;departure
144944;73;departure
144945;52;departure
144946;36;departure
144948;17;departure
144949;57;departure
144951;65;departure
144953;81;departure
144954;84;departure
144955;5;departure
144959;50;departure
144960;29;departure
144962;70;departure
144963;50;departure
144967;88;departure
144968;79;departure
144969;73;departure
144970;35;departure
144971;38;departure
144973;1;departure
144978;57;departure
144980;30;departure
144982;50;departure
144983;50;departure
144984;36;departure
144985;10;departure
144986;22;departure
144987;17;departure
144989;10;departure
144991;42;departure
144992;50;departure
144994;81;departure
144995;87;departure
144998;82;departure
144998;62;departure
145000;65;departure
145001;5;departure
145003;52;departure
145004;36;departure
145005;81;departure
145006;19;departure
145009;65;departure
145012;46;departure
145015;54;departure
145017;97;departure
145019;46;departure
145022;82;departure
145022;62;departure
145024;93;departure
145028;50;departure
145029;36;departure
145030;43;departure
145031;30;departure
145033;16;departure
145037;29;departure
145038;80;departure
145039;54;departure
145044;82;departure
145044;62;departure
145045;50;departure
145047;42;departure
145048;18;departure
145049;73;departure
145051;50;departure
145055;42;departure
145056;86;departure
145057;59;departure
145058;57;departure
145062;28;departure
145063;3;departure
145066;59;departure
145067;50;departure
145069;65;departure
145070;58;departure
145079;59;departure
145080;22;departure
145081;30;departure
145082;40;departure
145083;29;departure
145084;65;departure
145085;58;departure
145090;44;departure
145091;57;departure
145092;42;departure
145094;82;departure
145094;62;departure
145095;11;departure
145096;38;departure
145100;54;departure
145101;32;departure
145103;32;departure
145104;93;departure
145105;46;departure
145108;17;departure
145110;36;departure
145111;36;departure
145112;36;departure
145116;38;departure
145120;73;departure
145121;50;departure
145122;41;departure
145123;89;departure
145124;52;departure
145132;96;departure
145133;19;departure
145134;70;departure
145135;16;departure
145137;17;departure
145141;26;departure
145146;50;departure
145147;49;departure
145148;1;departure
145149;65;departure
145150;37;departure
145151;64;departure
145152;61;departure
145154;3;departure
145159;46;departure
145160;35;departure
145161;36;departure
145162;66;departure
145163;50;departure
145166;51;departure
145167;50;departure
145169;49;departure
145170;32;departure
145171;88;departure
145172;95;departure
145175;50;departure
145176;23;departure
145177;36;departure
145179;84;departure
145180;57;departure
145183;49;departure
145184;61;departure
145185;49;departure
145186;49;departure
145188;22;departure
145190;17;departure
145191;49;departure
145193;23;departure
145194;49;departure
145195;54;departure
145196;91;departure
145197;39;departure
145201;46;departure
145203;19;departure
145206;65;departure
145207;49;departure
145209;89;departure
145210;16;departure
145213;54;departure
145214;73;departure
145217;36;departure
145219;46;departure
145220;50;departure
145225;50;departure
145226;64;departure
145227;31;departure
145228;65;departure
145233;41;departure
145234;50;departure
145235;96;departure
145238;17;departure
145240;38;departure
145242;93;departure
145246;49;departure
145250;84;departure
145251;38;departure
145252;50;departure
145256;50;departure
145257;50;departure
145258;65;departure
145259;22;departure
145260;84;departure
145261;36;departure
145262;50;departure
145263;34;departure
145264;40;departure
145266;50;departure
145268;49;departure
145269;49;departure
145273;70;departure
145275;36;departure
145277;38;departure
145279;36;departure
145280;35;departure
145282;82;departure
145282;62;departure
145284;81;departure
145285;36;departure
145286;36;departure
145287;72;departure
145289;29;departure
145290;65;departure
145291;36;departure
145295;46;departure
145296;30;departure
145297;36;departure
145300;70;departure
145301;14;departure
145302;36;departure
145304;50;departure
145306;19;departure
145307;42;departure
145309;42;departure
145310;44;departure
145311;81;departure
145312;82;departure
145312;62;departure
145313;36;departure
145314;36;departure
145316;42;departure
145317;36;departure
145318;83;departure
145322;1;departure
145323;54;departure
145324;50;departure
145325;36;departure
145326;59;departure
145327;52;departure
145328;50;departure
145330;17;departure
145331;6;departure
145332;52;departure
145333;21;departure
145334;31;departure
145337;41;departure
145340;42;departure
145341;56;departure
145343;23;departure
145350;36;departure
145351;28;departure
145352;32;departure
145355;50;departure
145356;22;departure
145360;36;departure
145361;42;departure
145362;19;departure
145363;64;departure
145364;46;departure
145366;50;departure
145367;76;departure
145368;30;departure
145369;49;departure
145371;78;departure
145372;41;departure
145373;21;departure
145374;16;departure
145375;79;departure
145380;42;departure
145381;36;departure
145382;36;departure
145383;69;departure
145384;18;departure
145385;49;departure
145386;81;departure
145387;54;departure
145388;2;departure
145389;49;departure
145391;49;departure
145393;14;departure
145395;82;departure
145395;62;departure
145396;41;departure
145398;18;departure
145399;35;departure
145403;36;departure
145404;32;departure
145407;87;departure
145409;58;departure
145410;47;departure
145411;36;departure
145412;97;departure
145413;70;departure
145414;19;departure
145415;59;departure
145416;66;departure
145417;36;departure
145419;12;departure
145420;82;departure
145420;62;departure
145421;2;departure
145426;88;departure
145428;46;departure
145429;50;departure
145430;16;departure
145431;29;departure
145432;40;departure
145434;42;departure
145436;49;departure
145437;49;departure
145440;73;departure
145443;30;departure
145446;65;departure
145447;30;departure
145448;17;departure
145450;1;departure
145453;96;departure
145454;84;departure
145455;50;departure
145456;49;departure
145458;49;departure
145461;23;departure
145463;36;departure
145464;84;departure
145466;70;departure
145469;21;departure
145470;65;departure
145473;79;departure
145475;17;departure
145476;59;departure
145477;73;departure
145481;84;departure
145483;49;departure
145487;36;departure
145490;34;departure
145491;38;departure
145493;29;departure
145495;50;departure
145496;40;departure
145498;36;departure
145499;82;departure
145499;62;departure
145503;17;departure
145506;93;departure
145507;34;departure
145511;36;departure
145512;75;departure
145516;65;departure
145518;50;departure
145519;50;departure
145520;48;departure
145521;46;departure
145522;54;departure
145524;31;departure
145526;84;departure
145528;57;departure
145532;35;departure
145535;54;departure
145536;42;departure
145537;18;departure
145539;83;departure
145540;88;departure
145541;38;departure
145543;30;departure
145546;66;departure
145547;73;departure
145549;46;departure
145551;50;departure
145553;30;departure
145555;14;departure
145561;42;departure
145562;36;departure
145565;49;departure
145566;73;departure
145567;57;departure
145570;42;departure
145571;65;departure
145573;49;departure
145574;51;departure
145575;2;departure
145576;73;departure
145577;50;departure
145578;32;departure
145579;36;departure
145580;79;departure
